Name,Address,Email,Contact
SAMMANN Foundation,"2/30, SBI Colony, Khazpura, Near Jagdeo Path, Bailey Road, Patna-800014",info@sammaan.org,612-2591020
GOONJ,"J-93, Sarita Vihar, New Delhi-76",mail@goonj.org,"011-26972351, 41401216"
AKSHAYA Trust,"9, West Main Street Doak Nagar Extension Madurai — 625 016",info@akshayatrust.org,"452-4353439, 9843319933"
SMILE Foundation,"V-11, Level - 1, Green Park Extension, New Delhi - 110016",info@smilefoundationindia.org,011-43123700
UDAAN Welfare Foundation,"Gala No. 1, Near Indofil Industries Ltd., Azadnagar, Brahmand-Thane West, Thane - 400607, Indofil Industries", www.udaanwelfare.org ,9969162761
PRATHAM,"B- 4/58, Safdarjung Enclave, 2nd Floor, New Delhi-110 029",info@pratham.org,011-26716083 / 41651638
Lepra Society,"Plot No. 17, Krishnapuri Colony, West Marredpally, Secunderabad , Telangana, India",info@leprahealthinaction.in,040- 44586060 / 27802139 / 27807314
Deepalaya,"Human Resource Centre (HRC) 46, Institutional Area, D-Block, Janakpuri, New Delhi -110058.",support@deepalaya.org,"011-28520347, 28522263, 28525326"
UDAY Fooundation,"113A/1, Adchini, Sri Aurobindo Marg, New Delhi 110017",info@udayfoundation.org,"011-26561333,011-26561444"
Helpage India,"C–14 Qutab Institutional Area, New Delhi - 110016",headoffice@helpageindia.org,011-41688955/56
Sarvahitey,"D-7/7487 Vasant Kunj, New Delhi 110070",sarvahitey@gmail.com,8587023456
Raindrops Foundation,"17/9, 2nd Floor, Venkatesa Nagar 1st Street,(Near Rajarajeswari Amman Kovil – Saligramam Bus Depo)
Virugambakkam, Chennai – 92",Project.raindropss@gmail.com,9280809000
Plan International (India Chapter),"E-12 Kailash Colony, New Delhi, Delhi 110048",india.co@plan-international.org,011-46558484
India Women Welfare Foundation,"5 WH 17 NIT, India Women Welfare Foundation, Faridabad - 121001",info@womenwelfare.org,9868188194
Concern India Fondation,"3rd Floor, Ador House, 6, K. Dubash Marg, Mumbai- 400 001",mumbai@concernindia.org,(022) 22855487 / 22852270
CARE India,"A-12, Bhilwara Towers, Third Floor, Tower II Sector 1, NOIDA, Uttar Pradesh 201301",contactus@careindia.org,0120-4048250
End AIDS India Campaign,"India HIV/AIDS Alliance, 6 Community Centre, Zamrudpur, Kailash Colony Extension, New Delhi – 110048 ",reachus@endaidsindia.org,011-45367700
Teach for India,"Teach For India c/o The Akanksha Foundation, Voltas House ‘C’, T. B. Kadam Marg, Chinchpokli, Mumbai - 400033",www.teachforindia.org,022-65182238
Chintan Environmental Research and Action Group,"C-14, Lajpat Nagar III, Second Floor, New Delhi - 110024",info@chintan-india.org,"011-2984 2809, 4657 4172, 46574171"
Agewell Foundation,"M8A, Lajpat Nagar, Part II, Second Floor, Vinoba Puri, Block M, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024",agewellfoundation@gmail.com,"011-29836486,29840484,29830005"
Swechha India," R-84, Khirki Extension, Malviya Nagar, New Delhi 110017",swechhaindia@gmail.com,011-2954 4678 / 1845
MSF India,"MSF India, AISF Building, First floor, Amar Colony, Lajpat Nagar-IV, New Delhi-110024",india.info@new-delhi.msf.org,011-49010000
Save Life Foundation," D-10, First Floor, Murli Marg, Harsha Lane, Nizamuddin East, Delhi - 110013",info@savelifefoundation.org,"011-41091911,41000000"
Video Volunteers,"House No. 1224 26/3, Rua St. Joao Guam, Vaddy, Anjuna, Bardez, Goa, 403509",info@videovolunteers.org,9657004865
Chetna india,"Supath-II, B-Block, 3rd Floor, Opp. Vadaj Bus Terminus, Ashram Road, Vadaj, Ahmedabad-380013.",chetna@chetnaindia.org,"079-27559976 / 77, 27559978"
Breakthrough,"E-1A, First Floor, Kailash Colony, New Delhi – 110048",contact@breakthrough.tv,011-41666101 / 06
Jagori,"B-114, Shivalik Malviya Nagar, New Delhi 110 017, India",jagori@jagori.org,"011-26691219, 26691220"
Arth India,"G1-2, Satyam, Ramgiri, Badgaon, Udaipur - 313011",arthindia@gmail.com,294-2980075
SAMA,"D-98, 2nd Floor, Sector 63 Noida, Uttar Pradesh 201301",info@samaindia.in,120-4218527
Centre for Health and Social Justice,"Basement of Young Women's Hostel No. 2, Near Bank of India, Avenue 21, G Block, Saket, New Delhi- 110017,",chsj@chsj.org,"011-26535203, 26511425"
